id,year,stock,between,out_degree,in_degree,oil,inv,l,open,oilout_degree,oilin_degree,oilbetween
2,2008,-0.6481,279.7226,18.0000,13.0000,-0.7213,0.2510,0.4510,0.5570,-12.9840,-9.3773,-201.7733
2,2009,0.1380,48.0722,13.0000,3.0000,0.5763,0.3163,0.4589,0.5848,7.4914,1.7288,27.7021
2,2010,-0.0087,83.3024,14.0000,5.0000,0.1410,0.2737,0.4798,0.6615,1.9745,0.7052,11.7483
2,2011,-0.1242,17.7857,12.0000,4.0000,0.0784,0.2340,0.4884,0.7111,0.9405,0.3135,1.3939
2,2012,0.0909,254.2079,19.0000,11.0000,-0.0736,0.2315,0.4863,0.7597,-1.3979,-0.8093,-18.7023
2,2013,0.4890,325.6012,24.0000,9.0000,0.0694,0.2290,0.4888,0.7656,1.6659,0.6247,22.6012
2,2014,0.0541,214.8246,16.0000,11.0000,-0.6139,0.2409,0.4858,0.7561,-9.8219,-6.7526,-131.8745
2,2015,-0.0502,263.4818,17.0000,11.0000,-0.3634,0.2748,0.4794,0.7159,-6.1774,-3.9971,-95.7427
2,2016,0.0540,307.1706,17.0000,9.0000,0.3718,0.2814,0.4797,0.7573,6.3204,3.3461,114.2020
2,2017,-0.0331,402.6136,20.0000,15.0000,0.1175,0.2814,0.4797,0.7573,2.3507,1.7630,47.3211
6,2008,-0.4399,0.1667,2.0000,3.0000,-0.7213,0.3495,0.4858,1.0675,-1.4427,-2.1640,-0.1202
6,2009,-0.2128,0.0000,4.0000,1.0000,0.5763,0.2614,0.4921,1.0691,2.3050,0.5763,0.0000
6,2010,-0.0180,0.5000,2.0000,3.0000,0.1410,0.2729,0.4848,1.1318,0.2821,0.4231,0.0705
6,2011,-0.2250,0.2000,1.0000,3.0000,0.0784,0.2240,0.4763,1.1169,0.0784,0.2351,0.0157
6,2012,-0.0707,0.0000,2.0000,1.0000,-0.0736,0.2815,0.4638,1.0176,-0.1471,-0.0736,0.0000
6,2013,0.1587,0.5000,2.0000,2.0000,0.0694,0.2594,0.4721,1.0273,0.1388,0.1388,0.0347
6,2014,0.1330,2.0667,6.0000,3.0000,-0.6139,0.2684,0.4638,0.9362,-3.6832,-1.8416,-1.2687
6,2015,-0.1598,1.0000,1.0000,2.0000,-0.3634,0.2437,0.4834,0.9495,-0.3634,-0.7267,-0.3634
6,2016,0.0037,0.0000,1.0000,3.0000,0.3718,0.2574,0.4861,0.8281,0.3718,1.1154,0.0000
6,2017,0.0872,0.0000,1.0000,4.0000,0.1175,0.2574,0.4861,0.8281,0.1175,0.4701,0.0000
9,2008,-0.8785,73.0075,6.0000,19.0000,-0.7213,0.4321,0.5869,0.5696,-4.3280,-13.7053,-52.6628
9,2009,0.5877,62.6262,8.0000,18.0000,0.5763,0.4633,0.5855,0.4451,4.6101,10.3727,36.0890
9,2010,-0.1545,108.5988,11.0000,19.0000,0.1410,0.4788,0.5831,0.4889,1.5514,2.6796,15.3159
9,2011,-0.2443,100.2309,9.0000,20.0000,0.0784,0.4801,0.5822,0.5060,0.7054,1.5675,7.8556
9,2012,0.0312,65.7171,8.0000,18.0000,-0.0736,0.4718,0.5808,0.4811,-0.5886,-1.3243,-4.8349
9,2013,-0.0699,71.5782,8.0000,18.0000,0.0694,0.4725,0.5789,0.4657,0.5553,1.2495,4.9685
9,2014,0.4244,155.1960,9.0000,20.0000,-0.6139,0.4678,0.5766,0.4565,-5.5248,-12.2774,-95.2703
9,2015,0.0900,215.1853,13.0000,19.0000,-0.3634,0.4475,0.5740,0.4046,-4.7239,-6.9041,-78.1929
9,2016,-0.1313,69.4897,6.0000,18.0000,0.3718,0.4408,0.5709,0.3706,2.2307,6.6922,25.8354
9,2017,0.0635,117.9707,10.0000,18.0000,0.1175,0.4408,0.5709,0.3706,1.1753,2.1156,13.8657
12,2008,-0.6618,50.0385,7.0000,10.0000,-0.7213,0.3300,0.3918,0.5376,-5.0493,-7.2133,-36.0944
12,2009,0.6258,4.1929,6.0000,11.0000,0.5763,0.3117,0.3869,0.4678,3.4576,6.3389,2.4162
12,2010,0.3793,6.7381,7.0000,10.0000,0.1410,0.3288,0.3823,0.4969,0.9872,1.4103,0.9503
12,2011,0.0315,39.9000,8.0000,13.0000,0.0784,0.3298,0.3798,0.5562,0.6270,1.0189,3.1271
12,2012,0.1217,9.2452,8.0000,10.0000,-0.0736,0.3507,0.3775,0.5579,-0.5886,-0.7357,-0.6802
12,2013,-0.0099,6.7925,6.0000,12.0000,0.0694,0.3383,0.3800,0.5384,0.4165,0.8330,0.4715
12,2014,0.2012,9.5103,8.0000,8.0000,-0.6139,0.3460,0.3825,0.4901,-4.9110,-4.9110,-5.8381
12,2015,-0.1293,15.6857,6.0000,9.0000,-0.3634,0.3417,0.3849,0.4220,-2.1802,-3.2704,-5.6998
12,2016,0.1426,2.8667,7.0000,7.0000,0.3718,0.3429,0.3872,0.3981,2.6025,2.6025,1.0658
